record_id,level,module_no,module_title_pl,lesson_no,lesson_id,lesson_title_pl,record_type,sequence,hr_text,pl_text,lemma,part_of_speech,grammar_focus,communicative_goal,exercise_type,accepted_answers,notes_pl,tags,source_url
A1-0001,A1,1,Pierwsze kroki,1,a1-01,Bok! Kako si?,lesson,0,,,,,biti w czasie teraźniejszym; zaimki ja/ti; podstawowe formuły grzecznościowe,"Przywitać się, pożegnać i zapytać o samopoczucie.",,,Projekt autorski oparty na deskryptorach CEFR A1 oraz zakresie początkujących kursów Croaticum. Treści nie są kopią podręcznika.,curriculum|cefr-a1|croatian,https://www.coe.int/en/web/common-European-framework-reference-languages/table-1-cefr-3.3-common-reference-levels-global-scale|https://www.coe.int/en/web/common-european-framework-reference-languages/cefr-descriptors-search|https://croaticum.ffzg.unizg.hr/?page_id=1106|https://a1.ffzg.unizg.hr/|https://www.easy-croatian.com/2014/11/a3.html
A1-0002,A1,1,Pierwsze kroki,1,a1-01,Bok! Kako si?,vocabulary,1,bok,cześć,bok,interjection,biti w czasie teraźniejszym; zaimki ja/ti; podstawowe formuły grzecznościowe,"Przywitać się, pożegnać i zapytać o samopoczucie.",flashcard|recognition|production,bok,Docelowy element aktywnego słownictwa; wrzuć do FSRS po ukończeniu lekcji.,vocab|active,https://www.coe.int/en/web/common-European-framework-reference-languages/table-1-cefr-3.3-common-reference-levels-global-scale|https://www.coe.int/en/web/common-european-framework-reference-languages/cefr-descriptors-search|https://croaticum.ffzg.unizg.hr/?page_id=1106|https://a1.ffzg.unizg.hr/|https://www.easy-croatian.com/2014/11/a3.html
A1-0003,A1,1,Pierwsze kroki,1,a1-01,Bok! Kako si?,vocabulary,2,dobar dan,dzień dobry,dobar dan,phrase,biti w czasie teraźniejszym; zaimki ja/ti; podstawowe formuły grzecznościowe,"Przywitać się, pożegnać i zapytać o samopoczucie.",flashcard|recognition|production,dobar dan,Docelowy element aktywnego słownictwa; wrzuć do FSRS po ukończeniu lekcji.,vocab|active,https://www.coe.int/en/web/common-European-framework-reference-languages/table-1-cefr-3.3-common-reference-levels-global-scale|https://www.coe.int/en/web/common-european-framework-reference-languages/cefr-descriptors-search|https://croaticum.ffzg.unizg.hr/?page_id=1106|https://a1.ffzg.unizg.hr/|https://www.easy-croatian.com/2014/11/a3.html
A1-0004,A1,1,Pierwsze kroki,1,a1-01,Bok! Kako si?,vocabulary,3,doviđenja,do widzenia,doviđenja,phrase,biti w czasie teraźniejszym; zaimki ja/ti; podstawowe formuły grzecznościowe,"Przywitać się, pożegnać i zapytać o samopoczucie.",flashcard|recognition|production,doviđenja,Docelowy element aktywnego słownictwa; wrzuć do FSRS po ukończeniu lekcji.,vocab|active,https://www.coe.int/en/web/common-European-framework-reference-languages/table-1-cefr-3.3-common-reference-levels-global-scale|https://www.coe.int/en/web/common-european-framework-reference-languages/cefr-descriptors-search|https://croaticum.ffzg.unizg.hr/?page_id=1106|https://a1.ffzg.unizg.hr/|https://www.easy-croatian.com/2014/11/a3.html
A1-0005,A1,1,Pierwsze kroki,1,a1-01,Bok! Kako si?,vocabulary,4,kako,jak,kako,adverb,biti w czasie teraźniejszym; zaimki ja/ti; podstawowe formuły grzecznościowe,"Przywitać się, pożegnać i zapytać o samopoczucie.",flashcard|recognition|production,kako,Docelowy element aktywnego słownictwa; wrzuć do FSRS po ukończeniu lekcji.,vocab|active,https://www.coe.int/en/web/common-European-framework-reference-languages/table-1-cefr-3.3-common-reference-levels-global-scale|https://www.coe.int/en/web/common-european-framework-reference-languages/cefr-descriptors-search|https://croaticum.ffzg.unizg.hr/?page_id=1106|https://a1.ffzg.unizg.hr/|https://www.easy-croatian.com/2014/11/a3.html
A1-0006,A1,1,Pierwsze kroki,1,a1-01,Bok! Kako si?,vocabulary,5,dobro,dobrze,dobro,adverb,biti w czasie teraźniejszym; zaimki ja/ti; podstawowe formuły grzecznościowe,"Przywitać się, pożegnać i zapytać o samopoczucie.",flashcard|recognition|production,dobro,Docelowy element aktywnego słownictwa; wrzuć do FSRS po ukończeniu lekcji.,vocab|active,https://www.coe.int/en/web/common-European-framework-reference-languages/table-1-cefr-3.3-common-reference-levels-global-scale|https://www.coe.int/en/web/common-european-framework-reference-languages/cefr-descriptors-search|https://croaticum.ffzg.unizg.hr/?page_id=1106|https://a1.ffzg.unizg.hr/|https://www.easy-croatian.com/2014/11/a3.html
A1-0007,A1,1,Pierwsze kroki,1,a1-01,Bok! Kako si?,vocabulary,6,odlično,świetnie,odlično,adverb,biti w czasie teraźniejszym; zaimki ja/ti; podstawowe formuły grzecznościowe,"Przywitać się, pożegnać i zapytać o samopoczucie.",flashcard|recognition|production,odlično,Docelowy element aktywnego słownictwa; wrzuć do FSRS po ukończeniu lekcji.,vocab|active,https://www.coe.int/en/web/common-European-framework-reference-languages/table-1-cefr-3.3-common-reference-levels-global-scale|https://www.coe.int/en/web/common-european-framework-reference-languages/cefr-descriptors-search|https://croaticum.ffzg.unizg.hr/?page_id=1106|https://a1.ffzg.unizg.hr/|https://www.easy-croatian.com/2014/11/a3.html
A1-0008,A1,1,Pierwsze kroki,1,a1-01,Bok! Kako si?,vocabulary,7,loše,źle,loše,adverb,biti w czasie teraźniejszym; zaimki ja/ti; podstawowe formuły grzecznościowe,"Przywitać się, pożegnać i zapytać o samopoczucie.",flashcard|recognition|production,loše,Docelowy element aktywnego słownictwa; wrzuć do FSRS po ukończeniu lekcji.,vocab|active,https://www.coe.int/en/web/common-European-framework-reference-languages/table-1-cefr-3.3-common-reference-levels-global-scale|https://www.coe.int/en/web/common-european-framework-reference-languages/cefr-descriptors-search|https://croaticum.ffzg.unizg.hr/?page_id=1106|https://a1.ffzg.unizg.hr/|https://www.easy-croatian.com/2014/11/a3.html
A1-0009,A1,1,Pierwsze kroki,1,a1-01,Bok! Kako si?,vocabulary,8,hvala,dziękuję,hvala,interjection,biti w czasie teraźniejszym; zaimki ja/ti; podstawowe formuły grzecznościowe,"Przywitać się, pożegnać i zapytać o samopoczucie.",flashcard|recognition|production,hvala,Docelowy element aktywnego słownictwa; wrzuć do FSRS po ukończeniu lekcji.,vocab|active,https://www.coe.int/en/web/common-European-framework-reference-languages/table-1-cefr-3.3-common-reference-levels-global-scale|https://www.coe.int/en/web/common-european-framework-reference-languages/cefr-descriptors-search|https://croaticum.ffzg.unizg.hr/?page_id=1106|https://a1.ffzg.unizg.hr/|https://www.easy-croatian.com/2014/11/a3.html
A1-0010,A1,1,Pierwsze kroki,1,a1-01,Bok! Kako si?,sentence,1,Bok! Kako si?,Cześć! Jak się masz?,,,biti w czasie teraźniejszym; zaimki ja/ti; podstawowe formuły grzecznościowe,"Przywitać się, pożegnać i zapytać o samopoczucie.",translation|word_order|listening|gap,Bok! Kako si?,"Zdanie autorskie do ćwiczeń; przy inputach tekstowych warto akceptować brak części znaków diakrytycznych jako soft error, ale pokazać poprawną pisownię.",sentence|production|comprehension,https://www.coe.int/en/web/common-European-framework-reference-languages/table-1-cefr-3.3-common-reference-levels-global-scale|https://www.coe.int/en/web/common-european-framework-reference-languages/cefr-descriptors-search|https://croaticum.ffzg.unizg.hr/?page_id=1106|https://a1.ffzg.unizg.hr/|https://www.easy-croatian.com/2014/11/a3.html
A1-0011,A1,1,Pierwsze kroki,1,a1-01,Bok! Kako si?,sentence,2,"Dobro sam, hvala.","Mam się dobrze, dziękuję.",,,biti w czasie teraźniejszym; zaimki ja/ti; podstawowe formuły grzecznościowe,"Przywitać się, pożegnać i zapytać o samopoczucie.",translation|word_order|listening|gap,"Dobro sam, hvala.","Zdanie autorskie do ćwiczeń; przy inputach tekstowych warto akceptować brak części znaków diakrytycznych jako soft error, ale pokazać poprawną pisownię.",sentence|production|comprehension,https://www.coe.int/en/web/common-European-framework-reference-languages/table-1-cefr-3.3-common-reference-levels-global-scale|https://www.coe.int/en/web/common-european-framework-reference-languages/cefr-descriptors-search|https://croaticum.ffzg.unizg.hr/?page_id=1106|https://a1.ffzg.unizg.hr/|https://www.easy-croatian.com/2014/11/a3.html
A1-0012,A1,1,Pierwsze kroki,1,a1-01,Bok! Kako si?,sentence,3,Odlično sam.,Mam się świetnie.,,,biti w czasie teraźniejszym; zaimki ja/ti; podstawowe formuły grzecznościowe,"Przywitać się, pożegnać i zapytać o samopoczucie.",translation|word_order|listening|gap,Odlično sam.,"Zdanie autorskie do ćwiczeń; przy inputach tekstowych warto akceptować brak części znaków diakrytycznych jako soft error, ale pokazać poprawną pisownię.",sentence|production|comprehension,https://www.coe.int/en/web/common-European-framework-reference-languages/table-1-cefr-3.3-common-reference-levels-global-scale|https://www.coe.int/en/web/common-european-framework-reference-languages/cefr-descriptors-search|https://croaticum.ffzg.unizg.hr/?page_id=1106|https://a1.ffzg.unizg.hr/|https://www.easy-croatian.com/2014/11/a3.html
A1-0013,A1,1,Pierwsze kroki,1,a1-01,Bok! Kako si?,sentence,4,Nisam baš dobro.,Nie mam się zbyt dobrze.,,,biti w czasie teraźniejszym; zaimki ja/ti; podstawowe formuły grzecznościowe,"Przywitać się, pożegnać i zapytać o samopoczucie.",translation|word_order|listening|gap,Nisam baš dobro.,"Zdanie autorskie do ćwiczeń; przy inputach tekstowych warto akceptować brak części znaków diakrytycznych jako soft error, ale pokazać poprawną pisownię.",sentence|production|comprehension,https://www.coe.int/en/web/common-European-framework-reference-languages/table-1-cefr-3.3-common-reference-levels-global-scale|https://www.coe.int/en/web/common-european-framework-reference-languages/cefr-descriptors-search|https://croaticum.ffzg.unizg.hr/?page_id=1106|https://a1.ffzg.unizg.hr/|https://www.easy-croatian.com/2014/11/a3.html
A1-0014,A1,1,Pierwsze kroki,1,a1-01,Bok! Kako si?,sentence,5,Dobar dan!,Dzień dobry!,,,biti w czasie teraźniejszym; zaimki ja/ti; podstawowe formuły grzecznościowe,"Przywitać się, pożegnać i zapytać o samopoczucie.",translation|word_order|listening|gap,Dobar dan!,"Zdanie autorskie do ćwiczeń; przy inputach tekstowych warto akceptować brak części znaków diakrytycznych jako soft error, ale pokazać poprawną pisownię.",sentence|production|comprehension,https://www.coe.int/en/web/common-European-framework-reference-languages/table-1-cefr-3.3-common-reference-levels-global-scale|https://www.coe.int/en/web/common-european-framework-reference-languages/cefr-descriptors-search|https://croaticum.ffzg.unizg.hr/?page_id=1106|https://a1.ffzg.unizg.hr/|https://www.easy-croatian.com/2014/11/a3.html
A1-0015,A1,1,Pierwsze kroki,1,a1-01,Bok! Kako si?,sentence,6,Doviđenja!,Do widzenia!,,,biti w czasie teraźniejszym; zaimki ja/ti; podstawowe formuły grzecznościowe,"Przywitać się, pożegnać i zapytać o samopoczucie.",translation|word_order|listening|gap,Doviđenja!,"Zdanie autorskie do ćwiczeń; przy inputach tekstowych warto akceptować brak części znaków diakrytycznych jako soft error, ale pokazać poprawną pisownię.",sentence|production|comprehension,https://www.coe.int/en/web/common-European-framework-reference-languages/table-1-cefr-3.3-common-reference-levels-global-scale|https://www.coe.int/en/web/common-european-framework-reference-languages/cefr-descriptors-search|https://croaticum.ffzg.unizg.hr/?page_id=1106|https://a1.ffzg.unizg.hr/|https://www.easy-croatian.com/2014/11/a3.html
A1-0016,A1,1,Pierwsze kroki,1,a1-01,Bok! Kako si?,exercise_blueprint,1,,,,,biti w czasie teraźniejszym; zaimki ja/ti; podstawowe formuły grzecznościowe,"Przywitać się, pożegnać i zapytać o samopoczucie.",multiple_choice,,Wybierz poprawne znaczenie lub odpowiedź do krótkiego promptu.,exercise|lesson-player,https://www.coe.int/en/web/common-European-framework-reference-languages/table-1-cefr-3.3-common-reference-levels-global-scale|https://www.coe.int/en/web/common-european-framework-reference-languages/cefr-descriptors-search|https://croaticum.ffzg.unizg.hr/?page_id=1106|https://a1.ffzg.unizg.hr/|https://www.easy-croatian.com/2014/11/a3.html
A1-0017,A1,1,Pierwsze kroki,1,a1-01,Bok! Kako si?,exercise_blueprint,2,,,,,biti w czasie teraźniejszym; zaimki ja/ti; podstawowe formuły grzecznościowe,"Przywitać się, pożegnać i zapytać o samopoczucie.",translation,,"Przetłumacz 1 krótkie zdanie PL→HR, akceptując poprawne warianty.",exercise|lesson-player,https://www.coe.int/en/web/common-European-framework-reference-languages/table-1-cefr-3.3-common-reference-levels-global-scale|https://www.coe.int/en/web/common-european-framework-reference-languages/cefr-descriptors-search|https://croaticum.ffzg.unizg.hr/?page_id=1106|https://a1.ffzg.unizg.hr/|https://www.easy-croatian.com/2014/11/a3.html
A1-0018,A1,1,Pierwsze kroki,1,a1-01,Bok! Kako si?,exercise_blueprint,3,,,,,biti w czasie teraźniejszym; zaimki ja/ti; podstawowe formuły grzecznościowe,"Przywitać się, pożegnać i zapytać o samopoczucie.",free_response,,Napisz 1–2 własne zdania z materiałem lekcji; oceń sens i kluczową konstrukcję.,exercise|lesson-player,https://www.coe.int/en/web/common-European-framework-reference-languages/table-1-cefr-3.3-common-reference-levels-global-scale|https://www.coe.int/en/web/common-european-framework-reference-languages/cefr-descriptors-search|https://croaticum.ffzg.unizg.hr/?page_id=1106|https://a1.ffzg.unizg.hr/|https://www.easy-croatian.com/2014/11/a3.html
A1-0019,A1,1,Pierwsze kroki,2,a1-02,Skąd jesteś?,lesson,0,,,,,odakle/gdje; iz + dopełniacz jako gotowa konstrukcja; u + miejscownik w najczęstszych frazach,"Powiedzieć, skąd jesteś i gdzie mieszkasz.",,,Projekt autorski oparty na deskryptorach CEFR A1 oraz zakresie początkujących kursów Croaticum. Treści nie są kopią podręcznika.,curriculum|cefr-a1|croatian,https://www.coe.int/en/web/common-European-framework-reference-languages/table-1-cefr-3.3-common-reference-levels-global-scale|https://www.coe.int/en/web/common-european-framework-reference-languages/cefr-descriptors-search|https://croaticum.ffzg.unizg.hr/?page_id=1106|https://a1.ffzg.unizg.hr/|https://www.easy-croatian.com/2014/11/15.html|https://www.easy-croatian.com/2014/11/6.html|https://www.easy-croatian.com/2014/11/a4.html
A1-0020,A1,1,Pierwsze kroki,2,a1-02,Skąd jesteś?,vocabulary,1,odakle,skąd,odakle,adverb,odakle/gdje; iz + dopełniacz jako gotowa konstrukcja; u + miejscownik w najczęstszych frazach,"Powiedzieć, skąd jesteś i gdzie mieszkasz.",flashcard|recognition|production,odakle,Docelowy element aktywnego słownictwa; wrzuć do FSRS po ukończeniu lekcji.,vocab|active,https://www.coe.int/en/web/common-European-framework-reference-languages/table-1-cefr-3.3-common-reference-levels-global-scale|https://www.coe.int/en/web/common-european-framework-reference-languages/cefr-descriptors-search|https://croaticum.ffzg.unizg.hr/?page_id=1106|https://a1.ffzg.unizg.hr/|https://www.easy-croatian.com/2014/11/15.html|https://www.easy-croatian.com/2014/11/6.html|https://www.easy-croatian.com/2014/11/a4.html
A1-0021,A1,1,Pierwsze kroki,2,a1-02,Skąd jesteś?,vocabulary,2,gdje,gdzie,gdje,adverb,odakle/gdje; iz + dopełniacz jako gotowa konstrukcja; u + miejscownik w najczęstszych frazach,"Powiedzieć, skąd jesteś i gdzie mieszkasz.",flashcard|recognition|production,gdje,Docelowy element aktywnego słownictwa; wrzuć do FSRS po ukończeniu lekcji.,vocab|active,https://www.coe.int/en/web/common-European-framework-reference-languages/table-1-cefr-3.3-common-reference-levels-global-scale|https://www.coe.int/en/web/common-european-framework-reference-languages/cefr-descriptors-search|https://croaticum.ffzg.unizg.hr/?page_id=1106|https://a1.ffzg.unizg.hr/|https://www.easy-croatian.com/2014/11/15.html|https://www.easy-croatian.com/2014/11/6.html|https://www.easy-croatian.com/2014/11/a4.html
A1-0022,A1,1,Pierwsze kroki,2,a1-02,Skąd jesteś?,vocabulary,3,živjeti,mieszkać / żyć,živjeti,verb,odakle/gdje; iz + dopełniacz jako gotowa konstrukcja; u + miejscownik w najczęstszych frazach,"Powiedzieć, skąd jesteś i gdzie mieszkasz.",flashcard|recognition|production,živjeti,Docelowy element aktywnego słownictwa; wrzuć do FSRS po ukończeniu lekcji.,vocab|active,https://www.coe.int/en/web/common-European-framework-reference-languages/table-1-cefr-3.3-common-reference-levels-global-scale|https://www.coe.int/en/web/common-european-framework-reference-languages/cefr-descriptors-search|https://croaticum.ffzg.unizg.hr/?page_id=1106|https://a1.ffzg.unizg.hr/|https://www.easy-croatian.com/2014/11/15.html|https://www.easy-croatian.com/2014/11/6.html|https://www.easy-croatian.com/2014/11/a4.html
A1-0023,A1,1,Pierwsze kroki,2,a1-02,Skąd jesteś?,vocabulary,4,Poljska,Polska,Poljska,proper_noun,odakle/gdje; iz + dopełniacz jako gotowa konstrukcja; u + miejscownik w najczęstszych frazach,"Powiedzieć, skąd jesteś i gdzie mieszkasz.",flashcard|recognition|production,Poljska,Docelowy element aktywnego słownictwa; wrzuć do FSRS po ukończeniu lekcji.,vocab|active,https://www.coe.int/en/web/common-European-framework-reference-languages/table-1-cefr-3.3-common-reference-levels-global-scale|https://www.coe.int/en/web/common-european-framework-reference-languages/cefr-descriptors-search|https://croaticum.ffzg.unizg.hr/?page_id=1106|https://a1.ffzg.unizg.hr/|https://www.easy-croatian.com/2014/11/15.html|https://www.easy-croatian.com/2014/11/6.html|https://www.easy-croatian.com/2014/11/a4.html
